query_id,query_text,input_tokens,chunk_ids_needed,shared_chunk_ids,unique_chunk_ids,num_chunks
1,What are the core vision and mission statements of Tongaat Hulett?,663,"[0, 1, 2, 3, 4, 5, 6, 7]","[0, 1, 2, 3, 4, 5, 6]",[7],8
2,Summarize the geographic footprint of Tongaat Hulett's operations.,663,"[0, 1, 2, 3, 4, 5, 6, 8]","[0, 1, 2, 3, 4, 5, 6]",[8],8
3,What was the total volume of sugar produced in the 2021 financial year?,666,"[0, 1, 2, 3, 4, 5, 6, 9]","[0, 1, 2, 3, 4, 5, 6]",[9],8
4,How many people were employed at the peak of the milling season?,661,"[0, 1, 2, 3, 4, 5, 6, 10]","[0, 1, 2, 3, 4, 5, 6]",[10],8
5,What percentage of Board members were non-executive and independent?,660,"[0, 1, 2, 3, 4, 5, 6, 11]","[0, 1, 2, 3, 4, 5, 6]",[11],8
6,Explain the Manufactured and Financial capitals in the business model.,660,"[0, 1, 2, 3, 4, 5, 6, 12]","[0, 1, 2, 3, 4, 5, 6]",[12],8
7,What were the key focus areas for 2022 to enable operational excellence?,665,"[0, 1, 2, 3, 4, 5, 6, 13]","[0, 1, 2, 3, 4, 5, 6]",[13],8
8,Summarize the impact of COVID-19 on operations and workforce in 2021.,669,"[0, 1, 2, 3, 4, 5, 6, 14]","[0, 1, 2, 3, 4, 5, 6]",[14],8
9,How much was invested in COVID-19 avoidance and treatment in 2021?,667,"[0, 1, 2, 3, 4, 5, 6, 15]","[0, 1, 2, 3, 4, 5, 6]",[15],8
10,Describe the Social Ethics Health and Safety Committee responsibilities.,658,"[0, 1, 2, 3, 4, 5, 6, 16]","[0, 1, 2, 3, 4, 5, 6]",[16],8
11,What is the energy intensity reduction target by year 2025?,663,"[0, 1, 2, 3, 4, 5, 6, 17]","[0, 1, 2, 3, 4, 5, 6]",[17],8
12,List the market-leading brands for sugar and animal feeds.,659,"[0, 1, 2, 3, 4, 5, 6, 18]","[0, 1, 2, 3, 4, 5, 6]",[18],8
13,What was the total SED expenditure in 2021?,662,"[0, 1, 2, 3, 4, 5, 6, 19]","[0, 1, 2, 3, 4, 5, 6]",[19],8
14,Detail the change in scope 1 and scope 2 carbon emissions 2020-2021.,672,"[0, 1, 2, 3, 4, 5, 6, 20]","[0, 1, 2, 3, 4, 5, 6]",[20],8
15,How does Tongaat Hulett define and manage its Intellectual Capital?,662,"[0, 1, 2, 3, 4, 5, 6, 21]","[0, 1, 2, 3, 4, 5, 6]",[21],8
16,What were the primary environmental efficiency investments in 2021?,662,"[0, 1, 2, 3, 4, 5, 6, 22]","[0, 1, 2, 3, 4, 5, 6]",[22],8
17,Summarize the 2021 corporate reputation survey findings.,662,"[0, 1, 2, 3, 4, 5, 6, 23]","[0, 1, 2, 3, 4, 5, 6]",[23],8
18,What are the water efficiency improvement targets by 2025?,662,"[0, 1, 2, 3, 4, 5, 6, 24]","[0, 1, 2, 3, 4, 5, 6]",[24],8
19,Explain the relationship with small-scale growers including volumes.,658,"[0, 1, 2, 3, 4, 5, 6, 25]","[0, 1, 2, 3, 4, 5, 6]",[25],8
20,What was the LTIFR for 2021?,661,"[0, 1, 2, 3, 4, 5, 6, 26]","[0, 1, 2, 3, 4, 5, 6]",[26],8
21,Describe the approach to human rights and child labor in supply chain.,661,"[0, 1, 2, 3, 4, 5, 6, 27]","[0, 1, 2, 3, 4, 5, 6]",[27],8
22,What were total hazardous and non-hazardous waste volumes in 2021?,666,"[0, 1, 2, 3, 4, 5, 6, 28]","[0, 1, 2, 3, 4, 5, 6]",[28],8
23,List the third-party certifications held such as ISO 45001.,664,"[0, 1, 2, 3, 4, 5, 6, 29]","[0, 1, 2, 3, 4, 5, 6]",[29],8
24,How does the company align with UN Sustainable Development Goals?,659,"[0, 1, 2, 3, 4, 5, 6, 30]","[0, 1, 2, 3, 4, 5, 6]",[30],8
25,What was the total revenue for the 2021 financial year?,663,"[0, 1, 2, 3, 4, 5, 6, 31]","[0, 1, 2, 3, 4, 5, 6]",[31],8
26,Explain the significance of the Sugar Industry Masterplan.,658,"[0, 1, 2, 3, 4, 5, 6, 32]","[0, 1, 2, 3, 4, 5, 6]",[32],8
27,Detail the training and development spend for employees in 2021.,663,"[0, 1, 2, 3, 4, 5, 6, 33]","[0, 1, 2, 3, 4, 5, 6]",[33],8
28,What are the primary climate change risks identified?,657,"[0, 1, 2, 3, 4, 5, 6, 34]","[0, 1, 2, 3, 4, 5, 6]",[34],8
29,Summarize the Success Management programme for performance.,658,"[0, 1, 2, 3, 4, 5, 6, 35]","[0, 1, 2, 3, 4, 5, 6]",[35],8
30,Who provides independent external assurance for the ESG report?,659,"[0, 1, 2, 3, 4, 5, 6, 36]","[0, 1, 2, 3, 4, 5, 6]",[36],8
31,What is the stated purpose of Implats in the 2023 ESG report?,667,"[0, 1, 2, 3, 4, 5, 6, 37]","[0, 1, 2, 3, 4, 5, 6]",[37],8
32,Name the managed operations in the Implats 2023 ESG report scope.,666,"[0, 1, 2, 3, 4, 5, 6, 38]","[0, 1, 2, 3, 4, 5, 6]",[38],8
33,What was the LTIFR for the Implats Group in 2023?,666,"[0, 1, 2, 3, 4, 5, 6, 39]","[0, 1, 2, 3, 4, 5, 6]",[39],8
34,Detail the total value distributed to stakeholders in 2023.,662,"[0, 1, 2, 3, 4, 5, 6, 40]","[0, 1, 2, 3, 4, 5, 6]",[40],8
35,What percentage of the Implats Board identifies as female?,659,"[0, 1, 2, 3, 4, 5, 6, 41]","[0, 1, 2, 3, 4, 5, 6]",[41],8
36,Summarize the CEO's statement on safety and zero harm.,661,"[0, 1, 2, 3, 4, 5, 6, 42]","[0, 1, 2, 3, 4, 5, 6]",[42],8
37,What are the three pillars of the Implats ESG framework?,661,"[0, 1, 2, 3, 4, 5, 6, 43]","[0, 1, 2, 3, 4, 5, 6]",[43],8
38,How much was invested in SED and community projects in 2023?,665,"[0, 1, 2, 3, 4, 5, 6, 44]","[0, 1, 2, 3, 4, 5, 6]",[44],8
39,Explain the double materiality principle in Implats ESG reports.,661,"[0, 1, 2, 3, 4, 5, 6, 45]","[0, 1, 2, 3, 4, 5, 6]",[45],8
40,What are the primary metals produced and their uses?,658,"[0, 1, 2, 3, 4, 5, 6, 46]","[0, 1, 2, 3, 4, 5, 6]",[46],8
41,Describe the 35MW solar PV project progress at Zimplats.,663,"[0, 1, 2, 3, 4, 5, 6, 47]","[0, 1, 2, 3, 4, 5, 6]",[47],8
42,What was the water recycling and reuse rate achieved in 2023?,664,"[0, 1, 2, 3, 4, 5, 6, 48]","[0, 1, 2, 3, 4, 5, 6]",[48],8
43,Detail the We Care programme support for employee families.,658,"[0, 1, 2, 3, 4, 5, 6, 49]","[0, 1, 2, 3, 4, 5, 6]",[49],8
44,What were key employee outcomes in wages and benefits in 2023?,664,"[0, 1, 2, 3, 4, 5, 6, 50]","[0, 1, 2, 3, 4, 5, 6]",[50],8
45,Explain the PS3 strategy and sustainability alignment.,657,"[0, 1, 2, 3, 4, 5, 6, 51]","[0, 1, 2, 3, 4, 5, 6]",[51],8
46,What is the carbon emissions reduction target by 2030?,662,"[0, 1, 2, 3, 4, 5, 6, 52]","[0, 1, 2, 3, 4, 5, 6]",[52],8
47,Describe SO2 abatement technology installation at Zimplats.,660,"[0, 1, 2, 3, 4, 5, 6, 53]","[0, 1, 2, 3, 4, 5, 6]",[53],8
48,What external ESG ratings were received from MSCI and S&P Global?,663,"[0, 1, 2, 3, 4, 5, 6, 54]","[0, 1, 2, 3, 4, 5, 6]",[54],8
49,How does Implats manage air quality and reduce emissions?,659,"[0, 1, 2, 3, 4, 5, 6, 55]","[0, 1, 2, 3, 4, 5, 6]",[55],8
50,Summarize the RBPlat acquisition significance for Western Limb.,662,"[0, 1, 2, 3, 4, 5, 6, 56]","[0, 1, 2, 3, 4, 5, 6]",[56],8
