Experiment,Query_ID,State,Latency (s),Throughput (tok/s),Cost (ms/token),Input Tokens,Output Tokens,L1 GPU KV Usage (%),L2 CPU Cache (MB),L3 Disk Cache (MB),Disk Delta (MB),New Cache Chunks,RAM (GB),Prompt Preview
1. Shared Prefix,1,Cold,0.1828,1001.31,1.121,163,20,,0.0,0.0,0.0,0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,2,Warm,0.1363,1342.17,0.836,163,20,,0.0,0.0,0.0,0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,3,Warm,0.1381,1325.2,0.847,163,20,,0.0,0.0,0.0,0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,4,Warm,0.1356,1379.13,0.812,167,20,,0.0,0.0,0.0,0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,5,Warm,0.1352,1390.11,0.805,168,20,,0.0,0.0,0.0,0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,6,Warm,0.1389,1332.12,0.842,165,20,,0.0,0.0,0.0,0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,7,Warm,0.136,1434.21,0.777,175,20,,0.0,0.0,0.0,0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,8,Warm,0.1434,1304.28,0.859,167,20,,0.0,0.0,0.0,0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,9,Warm,0.1405,1359.59,0.822,171,20,,0.0,0.0,0.0,0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,10,Warm,0.1418,1325.53,0.844,168,20,,0.0,0.0,0.0,0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,11,Warm,0.1485,1272.33,0.879,169,20,,0.0,0.0,0.0,0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,12,Warm,0.1365,1370.42,0.817,167,20,,0.0,0.0,0.0,0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,13,Warm,0.1486,1265.32,0.884,168,20,,0.0,0.0,0.0,0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,14,Warm,0.1473,1249.17,0.898,164,20,,0.0,0.0,0.0,0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,15,Warm,0.1379,1362.94,0.821,168,20,,0.0,0.0,0.0,0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,16,Warm,0.1366,1354.72,0.828,165,20,,0.0,0.0,0.0,0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,17,Warm,0.1567,1186.79,0.944,166,20,,0.0,0.0,0.0,0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,18,Warm,0.1486,1231.12,0.912,163,20,,0.0,0.0,0.0,0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,19,Warm,0.135,1407.29,0.794,170,20,,0.0,0.0,0.0,0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,20,Warm,0.1426,1283.61,0.875,163,20,,0.0,0.0,0.0,0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,21,Warm,0.1357,1377.59,0.813,167,20,,0.0,0.0,0.0,0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,22,Warm,0.1349,1378.41,0.813,166,20,,0.0,0.0,0.0,0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,23,Warm,0.1331,1434.75,0.779,171,20,,0.0,0.0,0.0,0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,24,Warm,0.1484,1246.41,0.9,165,20,,0.0,0.0,0.0,0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,25,Warm,0.132,1439.4,0.776,170,20,,0.0,0.0,0.0,0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,26,Warm,0.1352,1368.37,0.819,165,20,,0.0,0.0,0.0,0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,27,Warm,0.1409,1333.95,0.839,168,20,,0.0,0.0,0.0,0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
