Experiment,Query_ID,State,Latency (s),Throughput (tok/s),Cost (ms/token),Input Tokens,Output Tokens,L3 Disk Cache (MB),RAM (GB),Prompt Preview
1. Shared Prefix,1,Cold,0.2962,617.83,1.817,163,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,2,Warm,0.1859,984.27,1.141,163,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,3,Warm,0.2262,808.86,1.388,163,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,4,Warm,0.2372,788.28,1.421,167,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,5,Warm,0.2105,893.17,1.253,168,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,6,Warm,0.1798,1028.66,1.09,165,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,7,Warm,0.279,699.04,1.594,175,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,8,Warm,0.1656,1129.15,0.992,167,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,9,Warm,0.2097,910.96,1.226,171,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,10,Warm,0.2678,702.1,1.594,168,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,11,Warm,0.2533,746.28,1.499,169,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,12,Warm,0.2452,762.5,1.469,167,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,13,Warm,0.1963,957.67,1.169,168,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
