query_id,query_text,input_tokens,chunk_ids_needed,shared_chunk_ids,unique_chunk_ids,num_chunks
1,User 0 Question 0,256,[0],[],[0],1
2,User 1 Question 0,256,[1],[],[1],1
3,User 2 Question 0,256,[2],[],[2],1
4,User 0 Question 1,512,"[0, 3]",[0],[3],2
5,User 1 Question 1,512,"[1, 4]",[1],[4],2
6,User 2 Question 1,512,"[2, 5]",[2],[5],2
7,User 0 Question 2,768,"[0, 3, 6]","[0, 3]",[6],3
8,User 1 Question 2,768,"[1, 4, 7]","[1, 4]",[7],3
9,User 2 Question 2,768,"[2, 5, 8]","[2, 5]",[8],3
10,User 0 Question 3,1024,"[0, 3, 6, 9]","[0, 3, 6]",[9],4
11,User 1 Question 3,1024,"[1, 4, 7, 10]","[1, 4, 7]",[10],4
12,User 2 Question 3,1024,"[2, 5, 8, 11]","[2, 5, 8]",[11],4
13,User 0 Question 4,1280,"[0, 3, 6, 9, 12]","[0, 3, 6, 9]",[12],5
14,User 1 Question 4,1280,"[1, 4, 7, 10, 13]","[1, 4, 7, 10]",[13],5
15,User 2 Question 4,1280,"[2, 5, 8, 11, 14]","[2, 5, 8, 11]",[14],5
16,User 0 Question 5,1536,"[0, 3, 6, 9, 12, 15]","[0, 3, 6, 9, 12]",[15],6
17,User 1 Question 5,1536,"[1, 4, 7, 10, 13, 16]","[1, 4, 7, 10, 13]",[16],6
18,User 2 Question 5,1536,"[2, 5, 8, 11, 14, 17]","[2, 5, 8, 11, 14]",[17],6
19,User 0 Question 6,1792,"[0, 3, 6, 9, 12, 15, 18]","[0, 3, 6, 9, 12, 15]",[18],7
20,User 1 Question 6,1792,"[1, 4, 7, 10, 13, 16, 19]","[1, 4, 7, 10, 13, 16]",[19],7
21,User 2 Question 6,1792,"[2, 5, 8, 11, 14, 17, 20]","[2, 5, 8, 11, 14, 17]",[20],7
22,User 0 Question 7,2048,"[0, 3, 6, 9, 12, 15, 18, 21]","[0, 3, 6, 9, 12, 15, 18]",[21],8
23,User 1 Question 7,2048,"[1, 4, 7, 10, 13, 16, 19, 22]","[1, 4, 7, 10, 13, 16, 19]",[22],8
24,User 2 Question 7,2048,"[2, 5, 8, 11, 14, 17, 20, 23]","[2, 5, 8, 11, 14, 17, 20]",[23],8
25,User 0 Question 8,2304,"[0, 3, 6, 9, 12, 15, 18, 21, 24]","[0, 3, 6, 9, 12, 15, 18, 21]",[24],9
26,User 1 Question 8,2304,"[1, 4, 7, 10, 13, 16, 19, 22, 25]","[1, 4, 7, 10, 13, 16, 19, 22]",[25],9
27,User 2 Question 8,2304,"[2, 5, 8, 11, 14, 17, 20, 23, 26]","[2, 5, 8, 11, 14, 17, 20, 23]",[26],9
28,User 0 Question 9,2560,"[0, 3, 6, 9, 12, 15, 18, 21, 24, 27]","[0, 3, 6, 9, 12, 15, 18, 21, 24]",[27],10
