query_id,query_text,input_tokens,chunk_ids_needed,shared_chunk_ids,unique_chunk_ids,num_chunks
1,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you explain how the RehabQuest pose tracking works?
Assistant: Here is answer for turn 1.
",84,[0],[],[0],1
2,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you explain how the RehabQuest pose tracking works?
Assistant: Here is answer for turn 1.
User: What is the calibration procedu",108,"[0, 1]",[0],[1],2
3,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you explain how the RehabQuest pose tracking works?
Assistant: Here is answer for turn 1.
User: What is the calibration procedu",132,"[0, 1, 2]","[0, 1]",[2],3
4,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you explain how the RehabQuest pose tracking works?
Assistant: Here is answer for turn 1.
User: What is the calibration procedu",156,"[0, 1, 2, 3]","[0, 1, 2]",[3],4
5,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you explain how the RehabQuest pose tracking works?
Assistant: Here is answer for turn 1.
User: What is the calibration procedu",180,"[0, 1, 2, 3, 4]","[0, 1, 2, 3]",[4],5
6,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you explain how the RehabQuest pose tracking works?
Assistant: Here is answer for turn 1.
User: What is the calibration procedu",204,"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4]",[5],6
7,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you explain how the RehabQuest pose tracking works?
Assistant: Here is answer for turn 1.
User: What is the calibration procedu",228,"[0, 1, 2, 3, 4, 5, 6]","[0, 1, 2, 3, 4, 5]",[6],7
8,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you explain how the RehabQuest pose tracking works?
Assistant: Here is answer for turn 1.
User: What is the calibration procedu",252,"[0, 1, 2, 3, 4, 5, 6, 7]","[0, 1, 2, 3, 4, 5, 6]",[7],8
9,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you explain how the RehabQuest pose tracking works?
Assistant: Here is answer for turn 1.
User: What is the calibration procedu",276,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[0, 1, 2, 3, 4, 5, 6, 7]",[8],9
10,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you explain how the RehabQuest pose tracking works?
Assistant: Here is answer for turn 1.
User: What is the calibration procedu",300,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 2, 3, 4, 5, 6, 7, 8]",[9],10
11,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you explain how the RehabQuest pose tracking works?
Assistant: Here is answer for turn 1.
User: What is the calibration procedu",324,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",[10],11
