query_id,query_text,input_tokens,chunk_ids_needed,shared_chunk_ids,unique_chunk_ids,num_chunks
1,Context: [RAG document ~1280 tokens] What are the core vision and mission statements of Tongaat Hulett?,1376,"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4]",[5],6
2,Context: [RAG document ~1280 tokens] Summarize the geographic footprint of Tongaat Hulett's operations.,1376,"[0, 1, 2, 3, 4, 6]","[0, 1, 2, 3, 4]",[6],6
3,Context: [RAG document ~1280 tokens] What was the total volume of sugar produced in the 2021 financial year?,1376,"[0, 1, 2, 3, 4, 7]","[0, 1, 2, 3, 4]",[7],6
4,Context: [RAG document ~1280 tokens] How many people were employed at the peak of the milling season?,1376,"[0, 1, 2, 3, 4, 8]","[0, 1, 2, 3, 4]",[8],6
5,Context: [RAG document ~1280 tokens] What percentage of Board members were non-executive and independent?,1376,"[0, 1, 2, 3, 4, 9]","[0, 1, 2, 3, 4]",[9],6
6,Context: [RAG document ~1280 tokens] Explain the Manufactured and Financial capitals in the business model.,1376,"[0, 1, 2, 3, 4, 10]","[0, 1, 2, 3, 4]",[10],6
7,Context: [RAG document ~1280 tokens] What were the key focus areas for 2022 to enable operational excellence?,1376,"[0, 1, 2, 3, 4, 11]","[0, 1, 2, 3, 4]",[11],6
8,Context: [RAG document ~1280 tokens] Summarize the impact of COVID-19 on operations and workforce in 2021.,1376,"[0, 1, 2, 3, 4, 12]","[0, 1, 2, 3, 4]",[12],6
9,Context: [RAG document ~1280 tokens] How much was invested in COVID-19 avoidance and treatment in 2021?,1376,"[0, 1, 2, 3, 4, 13]","[0, 1, 2, 3, 4]",[13],6
10,Context: [RAG document ~1280 tokens] Describe the Social Ethics Health and Safety Committee responsibilities.,1376,"[0, 1, 2, 3, 4, 14]","[0, 1, 2, 3, 4]",[14],6
11,Context: [RAG document ~1280 tokens] What is the energy intensity reduction target by year 2025?,1376,"[0, 1, 2, 3, 4, 15]","[0, 1, 2, 3, 4]",[15],6
12,Context: [RAG document ~1280 tokens] List the market-leading brands for sugar and animal feeds.,1376,"[0, 1, 2, 3, 4, 16]","[0, 1, 2, 3, 4]",[16],6
13,Context: [RAG document ~1280 tokens] What was the total SED expenditure in 2021?,1376,"[0, 1, 2, 3, 4, 17]","[0, 1, 2, 3, 4]",[17],6
14,Context: [RAG document ~1280 tokens] Detail the change in scope 1 and scope 2 carbon emissions 2020-2021.,1376,"[0, 1, 2, 3, 4, 18]","[0, 1, 2, 3, 4]",[18],6
15,Context: [RAG document ~1280 tokens] How does Tongaat Hulett define and manage its Intellectual Capital?,1376,"[0, 1, 2, 3, 4, 19]","[0, 1, 2, 3, 4]",[19],6
16,Context: [RAG document ~1280 tokens] What were the primary environmental efficiency investments in 2021?,1376,"[0, 1, 2, 3, 4, 20]","[0, 1, 2, 3, 4]",[20],6
17,Context: [RAG document ~1280 tokens] Summarize the 2021 corporate reputation survey findings.,1376,"[0, 1, 2, 3, 4, 21]","[0, 1, 2, 3, 4]",[21],6
